,,,,,0
100,2,1,,100,"[0.6460311431826814, 0.65807962529274, 0.6555269922879178]"
100,2,1,,1000,"[0.6224838587162932, 0.6317330210772834, 0.6375321336760925]"
100,2,1,,,"[0.6160273452335738, 0.6241217798594848, 0.6118251928020566]"
100,2,10,sqrt,100,"[0.6467907330041778, 0.6633489461358314, 0.6709511568123393]"
100,2,10,sqrt,1000,"[0.643372578807444, 0.6604215456674473, 0.6555269922879178]"
100,2,10,sqrt,,"[0.6448917584504368, 0.6586651053864169, 0.6606683804627249]"
100,2,10,,100,"[0.6456513482719332, 0.6586651053864169, 0.6632390745501285]"
100,2,10,,1000,"[0.6350170907709837, 0.6451990632318502, 0.6555269922879178]"
100,2,10,,,"[0.6353968856817319, 0.6428571428571429, 0.6452442159383034]"
100,2,100,sqrt,100,"[0.6559058108621344, 0.6627634660421545, 0.6478149100257069]"
100,2,100,sqrt,1000,"[0.6524876566654007, 0.6569086651053864, 0.6555269922879178]"
100,2,100,sqrt,,"[0.6536270413976453, 0.6563231850117096, 0.6426735218508998]"
100,2,100,,100,"[0.6486897075579188, 0.6656908665105387, 0.6632390745501285]"
100,2,100,,1000,"[0.6486897075579188, 0.6656908665105387, 0.6632390745501285]"
100,2,100,,,"[0.6475503228256742, 0.6615925058548009, 0.6606683804627249]"
100,10,1,sqrt,100,"[0.6562856057728826, 0.6656908665105387, 0.6503856041131105]"
100,10,1,sqrt,1000,"[0.6418533991644512, 0.6557377049180327, 0.6401028277634961]"
100,10,1,sqrt,,"[0.6369160653247247, 0.6487119437939111, 0.6503856041131105]"
100,10,1,,100,"[0.6403342195214584, 0.6516393442622951, 0.6632390745501285]"
100,10,1,,1000,"[0.6175465248765667, 0.6334894613583139, 0.6735218508997429]"
100,10,1,,,"[0.6118496012153437, 0.6194379391100703, 0.6298200514138818]"
100,10,10,sqrt,100,"[0.6502088872009115, 0.6574941451990632, 0.6606683804627249]"
100,10,10,sqrt,1000,"[0.6426129889859475, 0.6592505854800936, 0.6452442159383034]"
100,10,10,sqrt,,"[0.6456513482719332, 0.6592505854800936, 0.6478149100257069]"
100,10,10,,100,"[0.6448917584504368, 0.6563231850117096, 0.6632390745501285]"
100,10,10,,1000,"[0.641473604253703, 0.6411007025761124, 0.6478149100257069]"
100,10,10,,,"[0.6445119635396885, 0.6475409836065574, 0.6503856041131105]"
100,10,100,sqrt,100,"[0.655146221040638, 0.6539812646370023, 0.6606683804627249]"
100,10,100,sqrt,1000,"[0.6517280668439043, 0.6592505854800936, 0.6529562982005142]"
100,10,100,sqrt,,"[0.6536270413976453, 0.6557377049180327, 0.6478149100257069]"
100,10,100,,100,"[0.6490695024686669, 0.6610070257611241, 0.6683804627249358]"
100,10,100,,1000,"[0.6486897075579188, 0.667447306791569, 0.6632390745501285]"
100,10,100,,,"[0.6509684770224079, 0.6651053864168618, 0.6606683804627249]"
100,100,1,sqrt,100,"[0.6479301177364223, 0.6574941451990632, 0.6555269922879178]"
100,100,1,sqrt,1000,"[0.6517280668439043, 0.6598360655737705, 0.6709511568123393]"
100,100,1,sqrt,,"[0.6475503228256742, 0.655152224824356, 0.6632390745501285]"
100,100,1,,100,"[0.641473604253703, 0.6598360655737705, 0.6735218508997429]"
100,100,1,,1000,"[0.6369160653247247, 0.6539812646370023, 0.6580976863753213]"
100,100,1,,,"[0.6448917584504368, 0.6516393442622951, 0.6452442159383034]"
100,100,10,sqrt,100,"[0.6521078617546525, 0.6557377049180327, 0.6606683804627249]"
100,100,10,sqrt,1000,"[0.6464109380934295, 0.655152224824356, 0.6709511568123393]"
100,100,10,sqrt,,"[0.6559058108621344, 0.65807962529274, 0.6606683804627249]"
100,100,10,,100,"[0.6391948347892138, 0.6615925058548009, 0.6658097686375322]"
100,100,10,,1000,"[0.6437523737181922, 0.6539812646370023, 0.6709511568123393]"
100,100,10,,,"[0.6426129889859475, 0.6539812646370023, 0.6735218508997429]"
100,100,100,sqrt,100,"[0.6540068363083935, 0.6615925058548009, 0.6401028277634961]"
100,100,100,sqrt,1000,"[0.653247246486897, 0.6557377049180327, 0.6478149100257069]"
100,100,100,sqrt,,"[0.6517280668439043, 0.6586651053864169, 0.6632390745501285]"
100,100,100,,100,"[0.6475503228256742, 0.6598360655737705, 0.6606683804627249]"
100,100,100,,1000,"[0.6528674515761489, 0.664519906323185, 0.6709511568123393]"
100,100,100,,,"[0.6505886821116597, 0.664519906323185, 0.6760925449871465]"
400,2,1,sqrt,100,"[0.6540068363083935, 0.6539812646370023, 0.6452442159383034]"
400,2,1,sqrt,1000,"[0.6365362704139764, 0.6586651053864169, 0.6529562982005142]"
400,2,1,sqrt,,"[0.6407140144322067, 0.6539812646370023, 0.6503856041131105]"
400,2,1,,100,"[0.6467907330041778, 0.6592505854800936, 0.6606683804627249]"
400,2,1,,1000,"[0.6240030383592859, 0.6334894613583139, 0.6426735218508998]"
400,2,1,,,"[0.6304595518420053, 0.6375878220140515, 0.6478149100257069]"
400,2,10,sqrt,100,"[0.6505886821116597, 0.6545667447306791, 0.6555269922879178]"
400,2,10,sqrt,1000,"[0.655146221040638, 0.6586651053864169, 0.6555269922879178]"
400,2,10,sqrt,,"[0.6475503228256742, 0.65807962529274, 0.6606683804627249]"
400,2,10,,100,"[0.6391948347892138, 0.65807962529274, 0.6632390745501285]"
400,2,10,,1000,"[0.6407140144322067, 0.6475409836065574, 0.6555269922879178]"
400,2,10,,,"[0.639574629699962, 0.6492974238875878, 0.6503856041131105]"
400,2,100,sqrt,100,"[0.655146221040638, 0.6574941451990632, 0.6503856041131105]"
400,2,100,sqrt,1000,"[0.6540068363083935, 0.6539812646370023, 0.6529562982005142]"
400,2,100,sqrt,,"[0.6547664261298899, 0.6610070257611241, 0.6529562982005142]"
400,2,100,,100,"[0.6456513482719332, 0.6668618266978923, 0.6580976863753213]"
400,2,100,,1000,"[0.6479301177364223, 0.6633489461358314, 0.6632390745501285]"
400,2,100,,,"[0.6467907330041778, 0.6639344262295082, 0.6683804627249358]"
400,10,1,sqrt,100,"[0.6505886821116597, 0.6610070257611241, 0.6709511568123393]"
400,10,1,sqrt,1000,"[0.641473604253703, 0.6533957845433255, 0.6503856041131105]"
400,10,1,sqrt,,"[0.6437523737181922, 0.6533957845433255, 0.6426735218508998]"
400,10,1,,100,"[0.6445119635396885, 0.6610070257611241, 0.6709511568123393]"
400,10,1,,1000,"[0.6213444739840486, 0.6358313817330211, 0.6478149100257069]"
400,10,1,,,"[0.6259020129130269, 0.6364168618266979, 0.6503856041131105]"
400,10,10,sqrt,100,"[0.6475503228256742, 0.6533957845433255, 0.6503856041131105]"
400,10,10,sqrt,1000,"[0.6483099126471705, 0.6574941451990632, 0.6632390745501285]"
400,10,10,sqrt,,"[0.6471705279149259, 0.6586651053864169, 0.6529562982005142]"
400,10,10,,100,"[0.6437523737181922, 0.65807962529274, 0.6683804627249358]"
400,10,10,,1000,"[0.6429927838966958, 0.6487119437939111, 0.6452442159383034]"
400,10,10,,,"[0.6388150398784657, 0.6492974238875878, 0.6452442159383034]"
400,10,100,sqrt,100,"[0.6555260159513863, 0.65807962529274, 0.6529562982005142]"
400,10,100,sqrt,1000,"[0.6543866312191416, 0.6569086651053864, 0.6580976863753213]"
400,10,100,sqrt,,"[0.655146221040638, 0.65807962529274, 0.6529562982005142]"
400,10,100,,100,"[0.6471705279149259, 0.664519906323185, 0.6606683804627249]"
400,10,100,,1000,"[0.6521078617546525, 0.6627634660421545, 0.6683804627249358]"
400,10,100,,,"[0.6464109380934295, 0.6662763466042154, 0.6606683804627249]"
400,100,1,sqrt,100,"[0.6475503228256742, 0.6592505854800936, 0.6555269922879178]"
400,100,1,sqrt,1000,"[0.6471705279149259, 0.6545667447306791, 0.6632390745501285]"
400,100,1,sqrt,,"[0.6475503228256742, 0.6621779859484778, 0.6580976863753213]"
400,100,1,,100,"[0.6426129889859475, 0.6592505854800936, 0.6786632390745502]"
400,100,1,,1000,"[0.6388150398784657, 0.6516393442622951, 0.6580976863753213]"
400,100,1,,,"[0.6388150398784657, 0.6563231850117096, 0.6529562982005142]"
400,100,10,sqrt,100,"[0.6490695024686669, 0.6545667447306791, 0.6555269922879178]"
400,100,10,sqrt,1000,"[0.6502088872009115, 0.6569086651053864, 0.6503856041131105]"
400,100,10,sqrt,,"[0.6502088872009115, 0.6569086651053864, 0.6606683804627249]"
400,100,10,,100,"[0.6437523737181922, 0.6615925058548009, 0.6658097686375322]"
400,100,10,,1000,"[0.6448917584504368, 0.6557377049180327, 0.6606683804627249]"
400,100,10,,,"[0.641473604253703, 0.6563231850117096, 0.6555269922879178]"
400,100,100,sqrt,100,"[0.653247246486897, 0.6563231850117096, 0.6580976863753213]"
400,100,100,sqrt,1000,"[0.6566654006836309, 0.6569086651053864, 0.6529562982005142]"
400,100,100,sqrt,,"[0.655146221040638, 0.65807962529274, 0.6529562982005142]"
400,100,100,,100,"[0.6486897075579188, 0.6639344262295082, 0.6658097686375322]"
400,100,100,,1000,"[0.6441321686289404, 0.6656908665105387, 0.6632390745501285]"
400,100,100,,,"[0.6486897075579188, 0.6668618266978923, 0.6606683804627249]"
